Ticker,Rank,Name,Market Cap,Country,Shares,6mo Gain Abs,6mo Gain Pct,1st Month Gain,Sector_Communication Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Real Estate,Sector_Technology,Sector_Utilities,6mo Veredict_loss,6mo Veredict_neutral,6mo Veredict_gain,6mo Veredict_big gain
ASML,27,ASML,331650000000.0,🇳🇱 Netherlands,413327683.5454081,148.52999999999997,0.2254040519007512,15.370000000000005,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ADBE,28,Adobe,317980000000.0,🇺🇸 USA,475790040.6990663,167.32999999999998,0.336118755398429,81.06,0,0,0,0,0,0,0,0,1,0,0,0,0,1
NFLX,29,Netflix,291590000000.0,🇺🇸 USA,442950675.23431927,151.15999999999997,0.3005766553986875,25.400000000000038,1,0,0,0,0,0,0,0,0,0,0,0,0,1
PFE,30,Pfizer,285630000000.0,🇺🇸 USA,5612694045.981528,11.269999999999996,0.2830946998241646,0.4299999999999997,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CRM,31,Salesforce,283090000000.0,🇺🇸 USA,978974305.7716912,64.43,0.2838451033085158,6.170000000000016,0,0,0,0,0,0,0,0,1,0,0,0,0,1
DIS,32,Walt Disney,275000000000.0,🇺🇸 USA,1817100568.2569048,-23.28,-0.133555160346509,-2.8799999999999955,1,0,0,0,0,0,0,0,0,0,1,0,0,0
NKE,33,Nike,272290000000.00003,🇺🇸 USA,1582805324.652677,38.09,0.2841265105176787,18.03,0,1,0,0,0,0,0,0,0,0,0,0,0,1
XOM,34,Exxon Mobil,268740000000.0,🇺🇸 USA,4233459357.277883,3.520000000000003,0.0590504948834089,4.710000000000001,0,0,0,1,0,0,0,0,0,0,0,1,0,0
OR.PA,35,L'Oréal,259960000000.0,🇫🇷 France,557662605.1141238,47.0,0.1288730463394571,7.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TM,36,Toyota,256080000000.0,🇯🇵 Japan,1385639305.232401,22.28,0.1368718515788181,8.860000000000014,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ORCL,37,Oracle,255810000000.0,🇺🇸 USA,2733596922.4193206,13.560000000000002,0.1708238851095993,-0.8999999999999915,0,0,0,0,0,0,0,0,1,0,0,0,1,0
LLY,38,Eli Lilly,250620000000.0,🇺🇸 USA,956564885.4961832,60.93999999999997,0.3031539150333298,29.78,0,0,0,0,0,1,0,0,0,0,0,0,0,1
TMO,39,Thermo Fisher Scientific,249430000000.0,🇺🇸 USA,394044233.807267,170.3,0.3682480646974875,34.97000000000003,0,0,0,0,0,1,0,0,0,0,0,0,0,1
NVO,40,Novo Nordisk,248730000000.0,🇩🇰 Denmark,2281089508.43727,27.72,0.3392900856793146,4.86999999999999,0,0,0,0,0,1,0,0,0,0,0,0,0,1
COST,41,Costco,242880000000.0,🇺🇸 USA,441816891.928765,161.81,0.421984613378537,17.400000000000034,0,0,1,0,0,0,0,0,0,0,0,0,0,1
