Unnamed: 0,Ticker,Sector
966,DISCA,Communication Services
967,DISH,Communication Services
968,DJCO,Communication Services
969,DKILY,Industrials
970,DKNG,Consumer Cyclical
971,DKS,Consumer Cyclical
972,DLA,Consumer Cyclical
973,DLB,Technology
974,DLO,Technology
975,DLPN,Communication Services
976,DLR,Real Estate
977,DLTH,Consumer Cyclical
978,DLTR,Consumer Defensive
979,DLX,Communication Services
980,DM,Technology
981,DMRC,Technology
982,DNA,Healthcare
983,DNB,Technology
984,DNLI,Healthcare
985,DNOW,Energy
986,DNUT,Consumer Defensive
987,DNZOF,Consumer Cyclical
988,DOC,Real Estate
989,DOCN,Technology
990,DOCS,Healthcare
991,DOCU,Technology
992,DOGEF,Utilities
993,DOLE,Consumer Defensive
994,DOMA,Real Estate
995,DOMO,Technology
996,DOOO,Consumer Cyclical
997,DOOR,Industrials
998,DORM,Consumer Cyclical
999,DOV,Industrials
1000,DOW,Basic Materials
1001,DOX,Technology
1002,DPW,Industrials
1003,DPZ,Consumer Cyclical
1004,DRD,Basic Materials
1005,DRE,Real Estate
1006,DRH,Real Estate
1007,DRI,Consumer Cyclical
1008,DRNA,Healthcare
1009,DRQ,Energy
1010,DRTT,Industrials
1011,DRVN,Consumer Cyclical
1012,DS,Consumer Cyclical
1013,DSEY,Consumer Cyclical
1014,DSGX,Technology
1015,DSKE,Industrials
1016,DSKYF,Healthcare
1017,DSPG,Technology
1018,DSS,Industrials
1019,DT,Technology
1020,DTC,Consumer Cyclical
1021,DTE,Utilities
1022,DTEA,Consumer Defensive
1023,DTIL,Healthcare
1024,DUK,Utilities
1025,DUOL,Technology
1026,DV,Technology
1027,DVA,Healthcare
1028,DVAX,Healthcare
1029,DVD,Consumer Cyclical
1030,DVN,Energy
1031,DX,Real Estate
1032,DXC,Technology
1033,DXCM,Healthcare
1034,DXLG,Consumer Cyclical
1035,DXPE,Industrials
1036,DY,Industrials
1037,E,Energy
1038,EA,Communication Services
1039,EADSF,Industrials
1040,EAF,Industrials
1041,EAR,Healthcare
1042,EARN,Real Estate
1043,EAST,Consumer Defensive
1044,EAT,Consumer Cyclical
1045,EB,Technology
1046,EBAY,Consumer Cyclical
1047,EBC,Financial Services
1048,EBIX,Technology
1049,EBR,Utilities
1050,EBS,Healthcare
1051,EBTC,Financial Services
1052,EC,Energy
1053,ECC,Financial Services
1054,ECHO,Industrials
1055,ECIFF,Utilities
1056,ECL,Basic Materials
1057,ECOL,Industrials
1058,ECOM,Technology
1059,ECOR,Healthcare
1060,ED,Utilities
1061,EDIT,Healthcare
1062,EDR,Communication Services
1063,EDRVF,Utilities
1064,EDU,Consumer Defensive
1065,EEFT,Technology
1066,EEX,Communication Services
1067,EFC,Financial Services
1068,EFOI,Consumer Cyclical
1069,EFX,Industrials
1070,EGAN,Technology
1071,EGBN,Financial Services
1072,EGHT,Technology
1073,EGLE,Industrials
1074,EGO,Basic Materials
1075,EGP,Real Estate
1076,EGRX,Healthcare
1077,EGY,Energy
1078,EHC,Healthcare
1079,EHTH,Financial Services
1080,EIG,Financial Services
1081,EIX,Utilities
1082,EKSO,Healthcare
1083,EL,Consumer Defensive
1084,ELAN,Healthcare
1085,ELF,Consumer Defensive
1086,ELLO,Utilities
1087,ELP,Utilities
1088,ELS,Real Estate
1089,ELVT,Financial Services
1090,ELY,Consumer Cyclical
1091,EMAN,Technology
1092,EME,Industrials
1093,EMKR,Technology
1094,EMN,Basic Materials
1095,EMR,Industrials
1096,ENB,Energy
1097,ENBL,Energy
1098,ENDP,Healthcare
1099,ENFN,Technology
1100,ENIA,Utilities
1101,ENIC,Utilities
1102,ENLAY,Utilities
1103,ENLC,Energy
1104,ENPH,Technology
